material_area	function	placement
FFC_0	accuracy	fine
FFC_0	instanceOf	part
FFC_0	type	connector
FFC_0	attribute	soft
FFC_0	attribute	flexible
FFC_0	attribute	thin
FFC_0	shape	slice
FFC_0	parameter	2mm
FFC_1	accuracy	fine
FFC_1	instanceOf	part
FFC_1	type	connector
FFC_1	attribute	soft
FFC_1	attribute	flexible
FFC_1	attribute	thin
FFC_1	shape	slice
FFC_1	parameter	2mm
FFC_2	accuracy	fine
FFC_2	instanceOf	part
FFC_2	type	connector
FFC_2	attribute	soft
FFC_2	attribute	flexible
FFC_2	attribute	thin
FFC_2	shape	slice
FFC_2	parameter	2mm
FFC_3	accuracy	fine
FFC_3	instanceOf	part
FFC_3	type	connector
FFC_3	attribute	soft
FFC_3	attribute	flexible
FFC_3	attribute	thin
FFC_3	shape	slice
FFC_3	parameter	2mm
FFC_4	accuracy	fine
FFC_4	instanceOf	part
FFC_4	type	connector
FFC_4	attribute	soft
FFC_4	attribute	flexible
FFC_4	attribute	thin
FFC_4	shape	slice
FFC_4	parameter	2mm
FFC_5	accuracy	fine
FFC_5	instanceOf	part
FFC_5	type	connector
FFC_5	attribute	soft
FFC_5	attribute	flexible
FFC_5	attribute	thin
FFC_5	shape	slice
FFC_5	parameter	2mm
FFC_6	accuracy	fine
FFC_6	instanceOf	part
FFC_6	type	connector
FFC_6	attribute	soft
FFC_6	attribute	flexible
FFC_6	attribute	thin
FFC_6	shape	slice
FFC_6	parameter	2mm
FFC_7	accuracy	fine
FFC_7	instanceOf	part
FFC_7	type	connector
FFC_7	attribute	soft
FFC_7	attribute	flexible
FFC_7	attribute	thin
FFC_7	shape	slice
FFC_7	parameter	2mm
FFC_8	accuracy	fine
FFC_8	instanceOf	part
FFC_8	type	connector
FFC_8	attribute	soft
FFC_8	attribute	flexible
FFC_8	attribute	thin
FFC_8	shape	slice
FFC_8	parameter	2mm
FFC_9	accuracy	fine
FFC_9	instanceOf	part
FFC_9	type	connector
FFC_9	attribute	soft
FFC_9	attribute	flexible
FFC_9	attribute	thin
FFC_9	shape	slice
FFC_9	parameter	2mm
FFC_10	accuracy	fine
FFC_10	instanceOf	part
FFC_10	type	connector
FFC_10	attribute	soft
FFC_10	attribute	flexible
FFC_10	attribute	thin
FFC_10	shape	slice
FFC_10	parameter	2mm
FFC_11	accuracy	fine
FFC_11	instanceOf	part
FFC_11	type	connector
FFC_11	attribute	soft
FFC_11	attribute	flexible
FFC_11	attribute	thin
FFC_11	shape	slice
FFC_11	parameter	2mm
FFC_12	accuracy	fine
FFC_12	instanceOf	part
FFC_12	type	connector
FFC_12	attribute	soft
FFC_12	attribute	flexible
FFC_12	attribute	thin
FFC_12	shape	slice
FFC_12	parameter	2mm
FFC_13	accuracy	fine
FFC_13	instanceOf	part
FFC_13	type	connector
FFC_13	attribute	soft
FFC_13	attribute	flexible
FFC_13	attribute	thin
FFC_13	shape	slice
FFC_13	parameter	2mm
FFC_14	accuracy	fine
FFC_14	instanceOf	part
FFC_14	type	connector
FFC_14	attribute	soft
FFC_14	attribute	flexible
FFC_14	attribute	thin
FFC_14	shape	slice
FFC_14	parameter	2mm
FFC_15	accuracy	fine
FFC_15	instanceOf	part
FFC_15	type	connector
FFC_15	attribute	soft
FFC_15	attribute	flexible
FFC_15	attribute	thin
FFC_15	shape	slice
FFC_15	parameter	2mm
FFC_16	accuracy	fine
FFC_16	instanceOf	part
FFC_16	type	connector
FFC_16	attribute	soft
FFC_16	attribute	flexible
FFC_16	attribute	thin
FFC_16	shape	slice
FFC_16	parameter	2mm
FFC_17	accuracy	fine
FFC_17	instanceOf	part
FFC_17	type	connector
FFC_17	attribute	soft
FFC_17	attribute	flexible
FFC_17	attribute	thin
FFC_17	shape	slice
FFC_17	parameter	2mm
FFC_18	accuracy	fine
FFC_18	instanceOf	part
FFC_18	type	connector
FFC_18	attribute	soft
FFC_18	attribute	flexible
FFC_18	attribute	thin
FFC_18	shape	slice
FFC_18	parameter	2mm
FFC_19	accuracy	fine
FFC_19	instanceOf	part
FFC_19	type	connector
FFC_19	attribute	soft
FFC_19	attribute	flexible
FFC_19	attribute	thin
FFC_19	shape	slice
FFC_19	parameter	2mm
FFC_20	accuracy	fine
FFC_20	instanceOf	part
FFC_20	type	connector
FFC_20	attribute	soft
FFC_20	attribute	flexible
FFC_20	attribute	thin
FFC_20	shape	slice
FFC_20	parameter	2mm
FFC_21	accuracy	fine
FFC_21	instanceOf	part
FFC_21	type	connector
FFC_21	attribute	soft
FFC_21	attribute	flexible
FFC_21	attribute	thin
FFC_21	shape	slice
FFC_21	parameter	2mm
FFC_22	accuracy	fine
FFC_22	instanceOf	part
FFC_22	type	connector
FFC_22	attribute	soft
FFC_22	attribute	flexible
FFC_22	attribute	thin
FFC_22	shape	slice
FFC_22	parameter	2mm
FFC_23	accuracy	fine
FFC_23	instanceOf	part
FFC_23	type	connector
FFC_23	attribute	soft
FFC_23	attribute	flexible
FFC_23	attribute	thin
FFC_23	shape	slice
FFC_23	parameter	2mm
FFC_24	accuracy	fine
FFC_24	instanceOf	part
FFC_24	type	connector
FFC_24	attribute	soft
FFC_24	attribute	flexible
FFC_24	attribute	thin
